blk_no,street,max_floor_lvl,year_completed,residential,bldg_contract_town,2room_sold,3room_sold,4room_sold,5room_sold,area,address,lat,lon
620A,TAMPINES ST 61,16,2021,Y,TAP,0,0,84,42,TAMPINES,620A TAMPINES ST 61,1.36140989325615,103.938855008855
620B,TAMPINES ST 61,12,2021,Y,TAP,0,0,60,30,TAMPINES,620B TAMPINES ST 61,1.36141279465214,103.939404356376
621A,TAMPINES ST 61,16,2021,Y,TAP,0,56,70,14,TAMPINES,621A TAMPINES ST 61,1.3609453346909,103.938691824361
621B,TAMPINES ST 61,16,2021,Y,TAP,0,56,62,10,TAMPINES,621B TAMPINES ST 61,1.36094465471837,103.939399856449
622A,TAMPINES AVE 12,15,2021,Y,TAP,0,0,52,52,TAMPINES,622A TAMPINES AVE 12,1.3610618534932,103.940017022156
622B,TAMPINES AVE 12,15,2021,Y,TAP,0,0,52,52,TAMPINES,622B TAMPINES AVE 12,1.36098442996498,103.940666204678
623A,TAMPINES AVE 12,15,2021,Y,TAP,0,52,52,0,TAMPINES,623A TAMPINES AVE 12,1.36156037911716,103.940284651111
623B,TAMPINES AVE 12,15,2021,Y,TAP,0,52,52,0,TAMPINES,623B TAMPINES AVE 12,1.36133207513334,103.940944083885
623C,TAMPINES AVE 12,13,2021,Y,TAP,0,0,57,30,TAMPINES,623C TAMPINES AVE 12,1.36114474886559,103.941672812003
624A,TAMPINES AVE 12,15,2021,Y,TAP,0,0,26,26,TAMPINES,624A TAMPINES AVE 12,1.36191116453589,103.940765212113
624B,TAMPINES AVE 12,15,2021,Y,TAP,0,0,41,56,TAMPINES,624B TAMPINES AVE 12,1.36208192828081,103.941460559689
625A,TAMPINES ST 61,15,2021,Y,TAP,0,0,26,26,TAMPINES,625A TAMPINES ST 61,1.36216195232368,103.940056413466
625B,TAMPINES ST 61,15,2021,Y,TAP,0,0,54,56,TAMPINES,625B TAMPINES ST 61,1.36248280964256,103.940680964014
626A,TAMPINES ST 61,15,2021,Y,TAP,0,0,52,52,TAMPINES,626A TAMPINES ST 61,1.36269737798724,103.940131457766
627A,TAMPINES ST 61,16,2021,Y,TAP,0,28,58,4,TAMPINES,627A TAMPINES ST 61,1.36324156125322,103.940161575823
627B,TAMPINES ST 61,16,2021,Y,TAP,0,0,56,42,TAMPINES,627B TAMPINES ST 61,1.36360932691527,103.939942353867
641A,SENJA CL,18,2021,Y,BP,51,17,66,0,BUKIT PANJANG,641A SENJA CL,1.38780336894727,103.761870273327
643A,SENJA CL,22,2021,Y,BP,0,0,80,21,BUKIT PANJANG,643A SENJA CL,1.3883665865396,103.762719529953
643B,SENJA CL,30,2021,Y,BP,0,0,57,58,BUKIT PANJANG,643B SENJA CL,1.38851369606089,103.76300764626
656A,PUNGGOL EAST,18,2021,Y,PG,119,0,51,34,PUNGGOL,656A PUNGGOL EAST,1.39963056192521,103.92080044077
656B,PUNGGOL EAST,18,2021,Y,PG,102,34,53,17,PUNGGOL,656B PUNGGOL EAST,1.39936564367981,103.921178572672
799A,WOODLANDS DR 60,16,2021,Y,WL,0,58,58,0,WOODLANDS,799A WOODLANDS DR 60,1.44664948014379,103.799728555093
799B,WOODLANDS DR 60,16,2021,Y,WL,0,14,42,0,WOODLANDS,799B WOODLANDS DR 60,1.44616756084543,103.799460452527
874D,TAMPINES ST 85,15,2021,Y,TAP,0,0,56,55,TAMPINES,874D TAMPINES ST 85,1.35462980931459,103.931272638324
