blk_no,street,max_floor_lvl,year_completed,residential,bldg_contract_town,3room_sold,4room_sold,area,address,lat,lon,name
115B,JLN AYER,26,2021,Y,KWN,29,100,KALLANG/WHAMPOA,115B JLN AYER,1.31173777682602,103.873094505241,KALLANG RESIDENCES
152A,BEDOK STH RD,16,2021,Y,BD,0,41,BEDOK,152A BEDOK STH RD,1.31767817684758,103.947397456277,BEDOK SOUTH HORIZON
152B,BEDOK STH RD,16,2021,Y,BD,0,28,BEDOK,152B BEDOK STH RD,1.31817123395165,103.947304749013,BEDOK SOUTH HORIZON
152C,BEDOK STH RD,16,2021,Y,BD,0,30,BEDOK,152C BEDOK STH RD,1.31871703752085,103.947012423053,BEDOK SOUTH HORIZON
153A,BEDOK STH RD,16,2021,Y,BD,0,75,BEDOK,153A BEDOK STH RD,1.31936776676122,103.946995231796,BEDOK SOUTH HORIZON
153B,BEDOK STH RD,18,2021,Y,BD,0,32,BEDOK,153B BEDOK STH RD,1.31906119758746,103.946370356432,BEDOK SOUTH HORIZON
153C,BEDOK STH RD,18,2021,Y,BD,0,83,BEDOK,153C BEDOK STH RD,1.31860853270671,103.946523452962,BEDOK SOUTH HORIZON
154A,BEDOK STH RD,18,2021,Y,BD,0,85,BEDOK,154A BEDOK STH RD,1.3181828876969,103.946753679727,BEDOK SOUTH HORIZON
154B,BEDOK STH RD,18,2021,Y,BD,0,83,BEDOK,154B BEDOK STH RD,1.31772321409025,103.946902226539,BEDOK SOUTH HORIZON
222A,BEDOK NTH DR,17,2021,Y,BD,0,136,BEDOK,222A BEDOK NTH DR,1.32500460459969,103.92777031436,BEDOK BEACON
222B,BEDOK NTH DR,17,2021,Y,BD,0,134,BEDOK,222B BEDOK NTH DR,1.32458005260143,103.927932016592,BEDOK BEACON
222C,BEDOK NTH DR,16,2021,Y,BD,0,30,BEDOK,222C BEDOK NTH DR,1.3241279645869,103.9280621579,BEDOK BEACON
228A,PUNGGOL FIELD,17,2021,Y,PG,0,48,PUNGGOL,228A PUNGGOL FIELD,1.40362617372636,103.89242496905,MATILDA SUNDECK
228B,PUNGGOL FIELD,17,2021,Y,PG,0,93,PUNGGOL,228B PUNGGOL FIELD,1.40376244338657,103.891553728412,MATILDA SUNDECK
229A,SUMANG LANE,17,2021,Y,PG,0,62,PUNGGOL,229A SUMANG LANE,1.40282174723773,103.892154181604,MATILDA SUNDECK
229B,SUMANG LANE,17,2021,Y,PG,0,92,PUNGGOL,229B SUMANG LANE,1.40288375233956,103.891795536622,MATILDA SUNDECK
30,MARGARET DR,47,2021,Y,QT,120,40,QUEENSTOWN,30 MARGARET DR,1.29872624365856,103.803961832869,SKYRESIDENCE @ DAWSON
31,MARGARET DR,26,2021,Y,QT,44,0,QUEENSTOWN,31 MARGARET DR,1.2982509726153,103.803961453243,SKYRESIDENCE @ DAWSON
32,MARGARET DR,47,2021,Y,QT,123,40,QUEENSTOWN,32 MARGARET DR,1.29809524935013,103.804184228569,SKYRESIDENCE @ DAWSON
33,MARGARET DR,47,2021,Y,QT,41,82,QUEENSTOWN,33 MARGARET DR,1.29832213885666,103.804701057006,SKYRESIDENCE @ DAWSON
34,MARGARET DR,47,2021,Y,QT,41,80,QUEENSTOWN,34 MARGARET DR,1.29803387508872,103.804945280608,SKYRESIDENCE @ DAWSON
35,MARGARET DR,26,2021,Y,QT,22,0,QUEENSTOWN,35 MARGARET DR,1.2975569618296,103.80505878194,SKYRESIDENCE @ DAWSON
36,MARGARET DR,47,2021,Y,QT,84,39,QUEENSTOWN,36 MARGARET DR,1.29746900297522,103.805379901707,SKYRESIDENCE @ DAWSON
37,MARGARET DR,47,2021,Y,QT,116,42,QUEENSTOWN,37 MARGARET DR,1.29772461765254,103.805660926452,SKYRESIDENCE @ DAWSON
37A,PINE LANE,18,2021,Y,GL,66,0,GEYLANG,37A PINE LANE,1.30948686299225,103.885246649468,PINE VISTA
377A,HOUGANG ST 32,19,2021,Y,HG,0,68,HOUGANG,377A HOUGANG ST 32,1.3630200986731,103.894665312237,HOUGANG RIVERCOURT
377B,HOUGANG ST 32,19,2021,Y,HG,0,87,HOUGANG,377B HOUGANG ST 32,1.36220591877146,103.894742116488,HOUGANG RIVERCOURT
38A,PINE LANE,18,2021,Y,GL,117,0,GEYLANG,38A PINE LANE,1.30981364660016,103.885966095531,PINE VISTA
39A,MARGARET DR,45,2021,Y,QT,42,84,QUEENSTOWN,39A MARGARET DR,1.29730601672197,103.806366763284,SKYOASIS @ DAWSON
40A,MARGARET DR,45,2021,Y,QT,84,42,QUEENSTOWN,40A MARGARET DR,1.29700687306954,103.806057140127,SKYOASIS @ DAWSON
40B,MARGARET DR,26,2021,Y,QT,100,0,QUEENSTOWN,40B MARGARET DR,1.2968132363236,103.806238002701,SKYOASIS @ DAWSON
402A,FERNVALE LANE,23,2021,Y,SK,0,110,SENGKANG,402A FERNVALE LANE,1.38883429291912,103.871071423976,SENGKANG N4 C41
402B,FERNVALE LANE,23,2021,Y,SK,0,88,SENGKANG,402B FERNVALE LANE,1.3882200185782,103.870816336704,SENGKANG N4 C41
41A,MARGARET DR,32,2021,Y,QT,93,0,QUEENSTOWN,41A MARGARET DR,1.29689297904217,103.80682180549,SKYOASIS @ DAWSON
413A,NORTHSHORE DR,25,2021,Y,PG,58,28,PUNGGOL,413A NORTHSHORE DR,1.41618883370018,103.90016457514,WATERFRONT I @ NORTHSHORE
413B,NORTHSHORE DR,20,2021,Y,PG,19,18,PUNGGOL,413B NORTHSHORE DR,1.41675087503069,103.900540950368,WATERFRONT I @ NORTHSHORE
413C,NORTHSHORE DR,25,2021,Y,PG,39,44,PUNGGOL,413C NORTHSHORE DR,1.41703649391814,103.900922125364,WATERFRONT I @ NORTHSHORE
415A,NORTHSHORE DR,26,2021,Y,PG,0,75,PUNGGOL,415A NORTHSHORE DR,1.4166307861995,103.89948833933,WATERFRONT I @ NORTHSHORE
415B,NORTHSHORE DR,19,2021,Y,PG,0,58,PUNGGOL,415B NORTHSHORE DR,1.417186983477,103.900034140723,WATERFRONT I @ NORTHSHORE
415C,NORTHSHORE DR,19,2021,Y,PG,0,70,PUNGGOL,415C NORTHSHORE DR,1.41744806971584,103.900302527175,WATERFRONT I @ NORTHSHORE
415D,NORTHSHORE DR,25,2021,Y,PG,0,77,PUNGGOL,415D NORTHSHORE DR,1.41763017913453,103.90055293079,WATERFRONT I @ NORTHSHORE
419A,NORTHSHORE DR,25,2021,Y,PG,38,43,PUNGGOL,419A NORTHSHORE DR,1.41771139576935,103.901707718653,WATERFRONT II @ NORTHSHORE
419B,NORTHSHORE DR,20,2021,Y,PG,19,18,PUNGGOL,419B NORTHSHORE DR,1.41803209660986,103.902160274039,WATERFRONT II @ NORTHSHORE
419C,NORTHSHORE DR,20,2021,Y,PG,19,18,PUNGGOL,419C NORTHSHORE DR,1.41830121804059,103.90257297467,WATERFRONT II @ NORTHSHORE
419D,NORTHSHORE DR,25,2021,Y,PG,39,44,PUNGGOL,419D NORTHSHORE DR,1.41857437092251,103.903058002183,WATERFRONT II @ NORTHSHORE
42A,MARGARET DR,45,2021,Y,QT,120,84,QUEENSTOWN,42A MARGARET DR,1.29679541465289,103.807326025942,SKYOASIS @ DAWSON
420A,NORTHSHORE DR,25,2021,Y,PG,0,73,PUNGGOL,420A NORTHSHORE DR,1.41843911388677,103.901599784186,WATERFRONT II @ NORTHSHORE
420B,NORTHSHORE DR,19,2021,Y,PG,0,58,PUNGGOL,420B NORTHSHORE DR,1.4186531330314,103.901912547383,WATERFRONT II @ NORTHSHORE
420C,NORTHSHORE DR,19,2021,Y,PG,0,58,PUNGGOL,420C NORTHSHORE DR,1.41892697046946,103.902358246497,WATERFRONT II @ NORTHSHORE
420D,NORTHSHORE DR,26,2021,Y,PG,0,75,PUNGGOL,420D NORTHSHORE DR,1.41916860720759,103.902815748067,WATERFRONT II @ NORTHSHORE
421B,NORTHSHORE DR,26,2021,Y,PG,0,92,PUNGGOL,421B NORTHSHORE DR,1.41924637367443,103.904704708435,NORTHSHORE STRAITSVIEW
421C,NORTHSHORE DR,26,2021,Y,PG,48,0,PUNGGOL,421C NORTHSHORE DR,1.41921326140541,103.905299855658,NORTHSHORE STRAITSVIEW
422B,NORTHSHORE DR,26,2021,Y,PG,0,86,PUNGGOL,422B NORTHSHORE DR,1.4198034954577,103.905195322462,NORTHSHORE STRAITSVIEW
43A,MARGARET DR,45,2021,Y,QT,64,126,QUEENSTOWN,43A MARGARET DR,1.29607843502976,103.806864307801,SKYOASIS @ DAWSON
467C,BT BATOK WEST AVE 9,18,2021,Y,BB,34,0,BUKIT BATOK,467C BT BATOK WEST AVE 9,1.35592238075355,103.742551675133,WEST PLAINS @ BUKIT BATOK
476A,YISHUN ST 44,13,2021,Y,YS,48,84,YISHUN,476A YISHUN ST 44,1.4286310083846,103.85249950626,YISHUN N4 C21A
476B,YISHUN ST 44,13,2021,Y,YS,0,24,YISHUN,476B YISHUN ST 44,1.42768804661447,103.853736171808,YISHUN N4 C21A
476C,YISHUN ST 44,13,2021,Y,YS,0,48,YISHUN,476C YISHUN ST 44,1.42753529044394,103.85403174935,YISHUN N4 C21A
477A,YISHUN ST 44,13,2021,Y,YS,48,96,YISHUN,477A YISHUN ST 44,1.42813294510481,103.852082063994,YISHUN N4 C21A
618A,TAMPINES ST 61,16,2021,Y,TAP,0,56,TAMPINES,618A TAMPINES ST 61,1.36233452000448,103.938797272274,TAMPINES GREENVERGE
618B,TAMPINES ST 61,15,2021,Y,TAP,0,52,TAMPINES,618B TAMPINES ST 61,1.36232327931501,103.939141771406,TAMPINES GREENVERGE
619A,TAMPINES ST 61,16,2021,Y,TAP,0,84,TAMPINES,619A TAMPINES ST 61,1.36188585365471,103.938687143654,TAMPINES GREENVERGE
619B,TAMPINES ST 61,12,2021,Y,TAP,0,60,TAMPINES,619B TAMPINES ST 61,1.36188469560747,103.939404017177,TAMPINES GREENVERGE
620A,TAMPINES ST 61,16,2021,Y,TAP,0,84,TAMPINES,620A TAMPINES ST 61,1.36140989325615,103.938855008855,TAMPINES GREENVERGE
620B,TAMPINES ST 61,12,2021,Y,TAP,0,60,TAMPINES,620B TAMPINES ST 61,1.36141279465214,103.939404356376,TAMPINES GREENVERGE
621A,TAMPINES ST 61,16,2021,Y,TAP,56,70,TAMPINES,621A TAMPINES ST 61,1.3609453346909,103.938691824361,TAMPINES GREENVERGE
621B,TAMPINES ST 61,16,2021,Y,TAP,56,62,TAMPINES,621B TAMPINES ST 61,1.36094465471837,103.939399856449,TAMPINES GREENVERGE
622A,TAMPINES AVE 12,15,2021,Y,TAP,0,52,TAMPINES,622A TAMPINES AVE 12,1.3610618534932,103.940017022156,TAMPINES GREENVERGE
622B,TAMPINES AVE 12,15,2021,Y,TAP,0,52,TAMPINES,622B TAMPINES AVE 12,1.36098442996498,103.940666204678,TAMPINES GREENVERGE
623A,TAMPINES AVE 12,15,2021,Y,TAP,52,52,TAMPINES,623A TAMPINES AVE 12,1.36156037911716,103.940284651111,TAMPINES GREENVERGE
623B,TAMPINES AVE 12,15,2021,Y,TAP,52,52,TAMPINES,623B TAMPINES AVE 12,1.36133207513334,103.940944083885,TAMPINES GREENVERGE
623C,TAMPINES AVE 12,13,2021,Y,TAP,0,57,TAMPINES,623C TAMPINES AVE 12,1.36114474886559,103.941672812003,TAMPINES GREENVERGE
624A,TAMPINES AVE 12,15,2021,Y,TAP,0,26,TAMPINES,624A TAMPINES AVE 12,1.36191116453589,103.940765212113,TAMPINES GREENVERGE
624B,TAMPINES AVE 12,15,2021,Y,TAP,0,41,TAMPINES,624B TAMPINES AVE 12,1.36208192828081,103.941460559689,TAMPINES GREENVERGE
625A,TAMPINES ST 61,15,2021,Y,TAP,0,26,TAMPINES,625A TAMPINES ST 61,1.36216195232368,103.940056413466,TAMPINES GREENVERGE
625B,TAMPINES ST 61,15,2021,Y,TAP,0,54,TAMPINES,625B TAMPINES ST 61,1.36248280964256,103.940680964014,TAMPINES GREENVERGE
626A,TAMPINES ST 61,15,2021,Y,TAP,0,52,TAMPINES,626A TAMPINES ST 61,1.36269737798724,103.940131457766,TAMPINES GREENVERGE
627A,TAMPINES ST 61,16,2021,Y,TAP,28,58,TAMPINES,627A TAMPINES ST 61,1.36324156125322,103.940161575823,TAMPINES GREENVERGE
627B,TAMPINES ST 61,16,2021,Y,TAP,0,56,TAMPINES,627B TAMPINES ST 61,1.36360932691527,103.939942353867,TAMPINES GREENVERGE
641A,SENJA CL,18,2021,Y,BP,17,66,BUKIT PANJANG,641A SENJA CL,1.38780336894727,103.761870273327,SENJA HEIGHTS
643A,SENJA CL,22,2021,Y,BP,0,80,BUKIT PANJANG,643A SENJA CL,1.3883665865396,103.762719529953,SENJA VALLEY
643B,SENJA CL,30,2021,Y,BP,0,57,BUKIT PANJANG,643B SENJA CL,1.38851369606089,103.76300764626,SENJA VALLEY
656A,PUNGGOL EAST,18,2021,Y,PG,0,51,PUNGGOL,656A PUNGGOL EAST,1.39963056192521,103.92080044077,WATERWAY SUNRISE I
656B,PUNGGOL EAST,18,2021,Y,PG,34,53,PUNGGOL,656B PUNGGOL EAST,1.39936564367981,103.921178572672,WATERWAY SUNRISE I
799A,WOODLANDS DR 60,16,2021,Y,WL,58,58,WOODLANDS,799A WOODLANDS DR 60,1.44664948014379,103.799728555093,WOODLANDS SPRING
799B,WOODLANDS DR 60,16,2021,Y,WL,14,42,WOODLANDS,799B WOODLANDS DR 60,1.44616756084543,103.799460452527,WOODLANDS SPRING
874D,TAMPINES ST 85,15,2021,Y,TAP,0,56,TAMPINES,874D TAMPINES ST 85,1.35462980931459,103.931272638324,TAMPINES GREENFLORA
